State,Rate(%),Rate,postal
Alabama,16.50%,16.5,AL
Alaska,13.40%,13.4,AK
Arizona,14.90%,14.9,AZ
Arkansas,17.20%,17.2,AR
California,11.70%,11.7,CA
Colorado,11.30%,11.3,CO
Connecticut,11.60%,11.6,CT
Delaware,12.00%,12,DE
District of Columbia,12.40%,12.4,DC
Florida,13.90%,13.9,FL
Georgia,15.10%,15.1,GA
Hawaii,11.80%,11.8,HI
Idaho,13.20%,13.2,ID
Illinois,11.00%,11,IL
Indiana,13.70%,13.7,IN
Lowa,11.50%,11.5,IA
Kansas,12.90%,12.9,KS
Kentucky,15.50%,15.5,KY
Louisiana,16.70%,16.7,LA
Maine,13.80%,13.8,ME
Maryland,11.10%,11.1,MD
Massachusetts,9.60%,9.6,MA
Michigan,14.20%,14.2,MI
Minnesota,9.20%,9.2,MN
Mississipi,20.10%,20.1,MS
Missouri,14.70%,14.7,MO
Montana,12.30%,12.3,MT
Nebraska,11.90%,11.9,NE
Nevada,12.70%,12.7,NV
New Hampshire,9.00%,9,NH
New Jersey,10.30%,10.3,NJ
New Mexico,15.80%,15.8,NM
New York,11.90%,11.9,NY
North Carolina,15.40%,15.4,NC
North Dakota,7.40%,7.4,ND
Ohio,15.10%,15.1,OH
Oklahoma,16.20%,16.2,OK
Oregon,12.90%,12.9,OR
Pennsylvania,12.50%,12.5,PA
Rhode Island,12.10%,12.1,PR
South Carolina,13.90%,13.9,SC
South Dakota,11.70%,11.7,SD
Tennessee,14.50%,14.5,TN
Texas,15.40%,15.4,TX
Utah,12.50%,12.5,UT
Vermont,12.10%,12.1,VT
Virginia,10.60%,10.6,VA
Washington,12.00%,12,WA
West Virginia,14.60%,14.6,WV
Wisconsin,10.50%,10.5,WI
Wyoming,12.60%,12.6,WY