Year,Organic Material Composted,Organic Materials Otherwise Recovered,Organic Materials Recovered,Organic Materials Disposed in MSW,Total MSW Disposed,Organic Materials Disposed in MSW-Percent of Disposed MSW,Organic Materials Disposed in non-MSW landfills(tons),Total Organic Materials Disposed (tons),Total Solid Waste Disposed (recyclable portion),Total Organic Material-Percent of Total Solid Waste Disposed (recyclable portion),Total Organic Material Generated (tons),Organic Material Recycling/Diversion Rate,Population,Organic Materials Recovered (pounds/person/year),Organic Materials Disposed (pounds/person/year),Total Organic Materials Generated (pounds/person/year)
1992,,226478,226478,1526018,3945287,39%,,1526018,,,1752496,13%,5141200,88.1,593.64,681.75
2003,511434,866007,1377440,1498262,4805202,31%,109319,1607581,6122052,26%,2985021,46%,6098300,451.75,527.22,978.97
2004,682789,963519,1646308,1533392,4917870,31%,107346,1640738,6526087,25%,3287046,50%,6167800,533.84,532.03,1065.87
2005,769146,1272637,2041783,1577865,5060502,31%,106922,1684787,7696424,22%,3726570,55%,6256400,652.7,538.58,1191.28
2006,1000041,1345292,2345333,1639468,5258076,31%,75117,1714585,7760714,22%,4059918,58%,6375600,735.72,537.86,1273.58
2007,818074,1463122,2281195,1655438,5309296,31%,58433,1713872,8082291,21%,3995067,57%,6488000,703.2,528.32,1231.52
2008,816376,1298049,2114425,1981441,4978496,40%,71969,2053410,7516909,27%,4167836,51%,6587600,641.94,623.42,1265.36
2009,896461,1387177,2283638,1836105,4613329,40%,46952,1883057,6126660,31%,4166695,55%,6668200,684.93,564.79,1249.72
2010,1162336,1575880,2738216,1810213,4548275,40%,28431,1838644,7043048,26%,4576861,60%,6724540,814.4,546.85,1361.24
2011,1106226,1470293,2576519,1742382,4377843,40%,26544,1768925,6315653,28%,4345444,59%,6767900,761.39,522.74,1284.13
2012,1211805,1339399,2551204,1749958,4396880,40%,44631,1794589,7135530,25%,4345793,59%,6817770,748.4,526.44,1274.84
2013,1155515,1121463,2276978,1785163,4485333,40%,38594,1823757,7519539,24%,4100735,56%,6882400,661.68,529.98,1191.66
2014,1167011,1070755,2237766,1826935,4590290,40%,85914,1912849,8146869,23%,4150616,54%,6968170,642.28,549.02,1191.31
1993,,467933,467933,1523495,,,,1523495,,,1991428,23%,5265700,177.73,578.65,756.38
1997,484503,335786,820289,1513402,,,294184,1807586,,,2627874,31%,5663800,289.66,638.29,927.95
1998,420530,482005,902536,1510878,,,154582,1665460,,,2567996,35%,5750000,313.93,579.29,893.22
1999,556520,292942,849462,1508355,,,220941,1729296,,,2578758,33%,5830800,291.37,593.16,884.53
2000,384782,416431,801212,1505832,,,292979,1798811,,,2600023,31%,5894100,271.87,610.38,882.25
2001,608719,875736,1484454,1503309,,,248227,1751536,,,3235990,46%,5974900,496.9,586.3,1083.19
2002,587702,945467,1533170,1500785,,,93459,1594244,,,3127414,49%,6041700,507.53,527.75,1035.28
1994,,538959,538959,1520971,,,115865,1636836,,,2175795,25%,5364300,200.94,610.27,811.21
1995,,566119,566119,1518448,,,113556,1632004,,,2198123,26%,5470100,206.99,596.7,803.69
1996,,664435,664435,1515925,,,113939,1629864,,,2294299,29%,5567800,238.67,585.46,824.13